area,quartos,banheiros,vagas,preco
74.2,4,2,2,133000.0
89.6,4,4,3,122500.0
99.6,3,2,2,122500.0
75.0,4,2,3,122150.0
74.2,4,1,2,114100.0
75.0,3,3,2,108500.0
85.8,4,3,2,101500.0
162.0,5,3,0,101500.0
81.0,4,1,2,98700.0
57.5,3,2,1,98000.0
132.0,3,1,2,98000.0
60.0,4,3,2,96810.0
65.5,4,2,1,93100.0
35.0,4,2,2,92400.0
78.0,3,2,0,92400.0
60.0,4,1,2,91000.0
66.0,4,2,1,91000.0
85.0,3,2,2,89600.0
46.0,3,2,2,88900.0
64.2,3,2,1,88550.0
43.2,3,1,2,87500.0
71.5,3,2,2,86800.0
80.5,3,1,1,86450.0
45.6,3,2,1,86450.0
88.0,3,2,2,85750.0
65.4,4,2,2,85400.0
60.0,3,2,0,84630.0
88.7,3,1,1,84000.0
79.5,5,2,2,84000.0
55.0,4,2,1,84000.0
74.7,3,2,2,84000.0
70.0,3,1,2,84000.0
48.8,4,2,1,82950.0
59.6,3,3,1,81900.0
68.4,5,1,1,81200.0
70.0,3,2,2,80809.4
74.8,3,2,1,80430.0
90.0,4,2,2,79800.0
60.0,3,1,2,79625.0
60.0,4,2,1,79100.0
65.5,3,1,0,78750.0
63.6,3,2,0,78400.0
64.8,3,2,2,77000.0
60.0,4,2,2,77000.0
60.0,4,2,1,75600.0
60.0,3,2,0,75600.0
60.0,3,2,1,75250.0
66.0,3,1,3,74900.0
43.0,3,2,1,74550.0
74.4,3,2,0,74200.0
74.4,3,2,1,74200.0
63.2,3,1,1,74200.0
60.0,4,2,1,73500.0
51.5,3,2,2,73500.0
60.0,3,2,1,73500.0
60.0,3,1,1,73500.0
114.4,4,1,1,73430.0
90.0,4,2,1,72450.0
76.8,4,2,1,72100.0
60.0,3,2,1,72100.0
60.0,3,2,1,71400.0
88.8,2,1,1,70700.0
62.4,4,2,1,70700.0
63.6,4,2,2,70350.0
111.7,3,1,1,70000.0
88.8,3,2,1,69300.0
132.0,2,1,1,69300.0
77.0,3,2,2,68950.0
60.0,3,1,1,68600.0
120.9,4,2,2,67900.0
40.0,3,2,0,67900.0
60.0,4,2,0,67550.0
50.2,3,1,0,67200.0
66.0,2,2,0,66850.0
40.4,3,1,1,66500.0
42.6,4,2,0,66500.0
64.2,3,2,0,66500.0
65.0,3,2,0,66500.0
57.0,3,1,2,66500.0
60.0,3,2,0,66500.0
60.0,3,1,1,66290.0
40.0,3,2,1,66150.0
105.0,3,2,1,66150.0
60.0,3,2,0,65800.0
37.6,3,1,2,65100.0
82.5,3,2,0,65100.0
66.7,3,1,0,65100.0
39.6,3,1,2,64750.0
74.1,3,1,2,64750.0
85.8,5,3,2,64400.0
50.0,3,1,0,64400.0
67.5,2,1,2,64190.0
48.0,3,2,0,64050.0
72.0,3,2,3,63000.0
60.0,4,2,1,63000.0
41.0,3,2,2,63000.0
90.0,3,1,1,63000.0
64.0,3,1,1,63000.0
66.0,3,2,0,62930.0
60.0,4,1,0,62650.0
66.0,3,2,0,62300.0
55.0,3,1,1,62300.0
55.0,3,2,1,61950.0
63.5,3,2,0,61950.0
55.0,3,2,2,61950.0
45.0,3,1,0,61600.0
54.5,4,2,0,61600.0
64.2,3,1,0,61250.0
32.4,4,1,1,61075.0
66.1,4,2,1,60900.0
66.0,3,1,2,60900.0
83.7,3,1,2,60900.0
43.0,6,2,0,60830.0
96.2,3,1,2,60830.0
68.0,2,1,2,60200.0
80.0,3,1,2,60200.0
69.0,3,2,0,60200.0
37.0,4,1,0,59500.0
64.2,3,1,0,59500.0
70.2,3,1,2,59500.0
65.4,3,1,2,59500.0
72.3,3,1,0,59500.0
62.5,4,2,1,59500.0
73.2,4,2,0,59500.0
65.2,3,2,1,59500.0
156.0,3,1,2,59430.0
71.6,3,1,2,58800.0
65.0,3,2,0,58800.0
55.0,3,1,1,58730.0
114.6,3,1,2,58730.0
48.0,3,1,0,58660.0
58.2,4,1,0,58100.0
52.0,3,1,0,58100.0
48.0,3,1,0,58100.0
70.0,3,1,2,58030.0
60.0,3,2,0,57750.0
54.0,4,2,2,57400.0
46.4,4,1,1,57400.0
50.0,3,1,0,57400.0
63.6,3,1,2,57400.0
58.0,3,2,0,57400.0
66.6,4,2,1,56525.0
105.0,4,2,1,56000.0
48.0,5,2,0,56000.0
47.0,4,1,1,56000.0
50.0,3,1,0,56000.0
105.0,2,1,1,56000.0
55.0,3,2,1,56000.0
63.6,3,1,0,56000.0
66.0,4,2,0,56000.0
51.3,3,1,0,56000.0
44.0,4,1,2,55650.0
54.0,5,1,0,55650.0
33.0,3,3,0,55300.0
36.5,3,2,2,55300.0
61.0,3,2,2,55300.0
69.0,3,1,0,55230.0
28.1,4,2,1,54950.0
79.8,3,1,2,54950.0
31.5,3,2,0,54600.0
62.1,4,1,0,54600.0
61.0,3,1,0,54600.0
66.0,4,2,0,54600.0
68.2,3,1,0,54250.0
67.1,3,2,1,53900.0
64.5,3,2,0,53830.0
78.0,3,1,2,53200.0
46.0,2,2,2,52850.0
42.6,4,1,0,52500.0
65.4,4,2,0,52500.0
55.0,3,2,0,52500.0
102.6,3,1,1,52500.0
84.0,3,1,2,52500.0
53.0,4,2,0,52500.0
38.0,3,1,1,52500.0
98.0,4,2,2,52500.0
85.2,3,1,2,52500.0
60.5,3,1,0,52430.0
70.8,3,1,2,52290.0
31.8,3,2,2,52150.0
45.0,4,2,2,52150.0
72.0,3,1,1,52150.0
34.1,3,1,0,51450.0
79.8,3,1,1,51450.0
30.0,3,2,0,51100.0
30.0,3,1,0,51100.0
114.1,2,1,0,51100.0
61.0,3,1,0,51100.0
57.2,2,1,0,50750.0
35.4,2,1,0,50400.0
76.0,4,1,2,50400.0
107.0,3,1,0,50400.0
66.0,3,1,0,50400.0
48.0,2,1,0,50330.0
81.5,3,2,0,50050.0
44.1,4,3,2,49700.0
76.8,3,1,0,49700.0
28.0,3,2,1,49560.0
59.4,3,1,0,49350.0
42.0,3,1,1,49070.0
45.2,3,1,0,49000.0
40.9,3,1,0,49000.0
41.2,2,1,1,49000.0
54.0,4,1,0,49000.0
47.7,3,1,0,49000.0
63.0,3,1,2,49000.0
58.0,2,1,0,49000.0
30.0,3,1,0,49000.0
29.7,3,1,0,49000.0
67.2,3,1,0,49000.0
46.4,3,1,2,49000.0
129.0,3,1,2,49000.0
34.2,4,2,2,48930.0
49.9,4,2,0,48930.0
43.5,2,1,0,48650.0
41.6,3,1,0,48300.0
60.4,3,1,2,48300.0
68.6,3,1,2,48300.0
48.1,2,1,0,48300.0
70.0,3,1,0,47950.0
81.0,4,1,2,47950.0
34.2,4,2,0,47670.0
91.6,2,1,2,47600.0
63.2,3,1,1,47600.0
102.4,2,1,2,47600.0
64.4,2,1,3,47530.0
51.7,3,1,0,46900.0
60.0,2,1,1,46900.0
36.3,3,1,2,46900.0
96.6,4,2,1,46900.0
54.0,2,1,0,46900.0
43.2,3,1,0,46900.0
37.4,3,1,0,46550.0
41.6,3,1,0,46200.0
38.8,3,2,2,46200.0
56.8,3,1,1,46200.0
28.7,2,1,0,46200.0
50.1,3,1,0,46200.0
45.1,4,2,0,46130.0
40.0,3,1,1,45850.0
38.4,3,1,1,45850.0
37.6,3,1,2,45500.0
36.4,3,1,0,45500.0
25.5,3,1,0,45500.0
53.2,3,1,0,45500.0
53.6,3,1,2,45500.0
35.2,3,1,0,45500.0
84.0,4,1,3,45500.0
41.0,2,2,0,45430.0
49.9,4,2,0,45430.0
35.1,3,1,0,45150.0
34.5,3,1,1,45150.0
98.6,3,1,0,45150.0
35.2,2,1,0,45150.0
45.1,4,1,2,44800.0
58.8,2,1,1,44800.0
40.0,3,1,2,44800.0
82.5,3,1,0,44800.0
40.4,3,1,1,44800.0
63.6,2,1,1,44730.0
31.6,3,1,1,44730.0
35.1,3,1,0,44730.0
37.5,2,1,0,44450.0
39.6,3,1,0,44100.0
49.0,2,1,0,44100.0
28.8,3,1,0,44030.0
48.8,3,1,2,44030.0
49.2,3,1,1,44030.0
49.5,4,1,0,43820.0
39.0,3,1,0,43750.0
45.0,3,2,1,43400.0
19.0,5,1,0,43400.0
40.7,3,1,2,43400.0
35.0,4,1,2,43400.0
64.5,4,1,0,43400.0
40.3,2,1,0,43190.0
44.0,2,1,1,43050.0
103.6,2,1,1,43050.0
34.0,3,1,2,42770.0
63.6,2,1,0,42700.0
63.6,2,1,0,42700.0
45.0,2,1,2,42700.0
21.7,3,1,0,42700.0
43.6,4,1,0,42700.0
77.7,2,1,1,42700.0
66.5,3,1,0,42350.0
27.8,3,1,0,42350.0
55.0,3,1,0,42000.0
50.4,3,1,0,42000.0
58.5,2,1,2,42000.0
26.1,4,3,0,42000.0
29.5,3,1,0,42000.0
27.4,4,2,0,42000.0
44.1,2,1,1,42000.0
40.0,4,2,0,42000.0
23.2,3,1,0,42000.0
46.0,3,2,1,42000.0
36.4,3,2,0,42000.0
58.0,3,1,2,42000.0
70.0,3,1,3,42000.0
40.7,3,1,0,42000.0
35.2,3,1,0,42000.0
21.4,3,1,1,42000.0
45.0,3,1,0,42000.0
82.5,3,1,3,41930.0
34.5,3,1,1,41930.0
48.4,3,1,1,41650.0
40.8,3,1,2,41650.0
40.4,3,1,1,41650.0
46.3,4,1,0,41300.0
59.8,3,1,0,41300.0
60.6,2,1,1,41230.0
36.0,3,1,0,40985.0
36.8,3,2,0,40950.0
40.4,2,1,1,40950.0
56.0,2,1,0,40950.0
59.0,4,2,1,40600.0
49.9,3,2,2,40600.0
43.4,3,1,0,40600.0
30.0,4,1,2,40600.0
43.2,3,1,2,40600.0
36.3,3,2,2,40250.0
34.6,3,2,1,40250.0
54.0,3,1,3,40250.0
45.0,3,1,0,40075.0
34.6,4,1,0,40075.0
41.0,4,1,0,39900.0
64.8,3,1,1,39900.0
45.0,3,2,0,39900.0
39.6,3,1,0,39900.0
40.5,2,1,0,39900.0
72.6,3,2,3,39200.0
55.0,4,1,0,39200.0
30.0,3,1,0,39200.0
32.9,2,1,1,39200.0
38.1,2,1,2,39200.0
80.8,3,1,2,39200.0
21.4,4,2,0,39200.0
37.8,2,1,0,38850.0
31.8,4,2,0,38850.0
53.0,5,2,0,38500.0
31.8,2,2,2,38500.0
71.5,3,1,0,38500.0
40.8,2,1,0,38500.0
38.5,2,1,0,38500.0
20.1,3,1,0,38500.0
21.7,2,1,0,38500.0
33.5,3,1,0,38360.0
31.5,2,2,0,38150.0
48.2,3,1,0,37800.0
34.2,2,1,1,37800.0
36.0,2,1,0,37800.0
58.3,2,1,2,37800.0
28.5,3,1,0,37800.0
84.0,2,1,1,37800.0
82.5,3,1,2,37730.0
25.2,5,2,1,37730.0
69.3,4,1,1,37730.0
34.8,2,1,0,37450.0
36.0,3,1,1,37100.0
40.4,2,1,0,37100.0
60.2,3,1,0,37100.0
40.5,2,1,0,37100.0
35.8,2,1,0,37100.0
31.2,3,1,0,37030.0
54.5,2,1,0,37030.0
36.3,2,1,0,36750.0
36.3,2,1,0,36750.0
56.4,2,1,0,36750.0
36.0,2,1,0,36750.0
42.8,2,1,2,36400.0
35.7,3,1,0,36400.0
31.8,3,1,0,36400.0
30.0,2,1,0,36400.0
35.2,2,2,0,36400.0
59.6,3,1,0,36400.0
41.3,3,2,2,36400.0
28.5,3,2,0,36400.0
22.7,3,1,0,36400.0
35.2,3,1,2,36330.0
45.0,2,1,0,36050.0
40.0,2,1,0,36050.0
31.5,3,1,0,35700.0
45.0,4,2,2,35700.0
45.0,2,1,0,35700.0
36.4,2,1,0,35700.0
38.5,3,1,2,35350.0
42.4,3,1,0,35000.0
36.5,3,1,0,35000.0
46.0,4,1,0,35000.0
21.3,3,2,0,35000.0
30.3,3,1,0,35000.0
39.9,3,1,0,35000.0
74.2,3,1,0,35000.0
34.8,3,1,0,35000.0
36.0,6,1,1,35000.0
36.4,2,1,1,35000.0
59.0,2,1,1,35000.0
31.2,3,1,1,35000.0
73.5,2,1,1,35000.0
35.1,2,1,1,35000.0
95.0,3,1,3,35000.0
58.8,2,1,0,35000.0
129.4,3,1,0,35000.0
49.0,3,1,0,34930.0
30.6,3,1,0,34650.0
53.2,2,1,1,34650.0
21.4,3,1,0,34650.0
40.0,2,1,0,34300.0
31.8,2,1,2,34300.0
38.5,3,1,0,34300.0
21.4,3,1,0,34300.0
26.1,3,1,0,34300.0
19.5,3,2,0,34300.0
40.4,2,1,0,34230.0
47.8,3,1,1,33950.0
34.5,3,1,2,33950.0
36.4,2,1,0,33950.0
35.0,4,1,2,33600.0
49.6,4,1,0,33600.0
41.2,2,1,0,33600.0
47.5,2,1,0,33600.0
37.2,2,1,0,33600.0
37.5,3,1,0,33600.0
31.0,3,1,0,33600.0
31.8,2,1,2,33600.0
27.0,3,1,0,33530.0
21.4,3,1,0,33320.0
40.4,2,1,1,33250.0
47.7,4,1,0,33250.0
25.0,2,1,0,32900.0
31.8,4,1,0,32900.0
60.6,3,1,0,32900.0
34.8,4,1,1,32900.0
37.9,4,1,0,32900.0
40.4,2,1,0,32900.0
21.4,3,1,0,32900.0
58.8,3,1,1,32900.0
45.0,2,1,0,32550.0
39.3,2,1,0,32550.0
36.4,4,1,0,32340.0
43.7,3,1,0,32200.0
26.8,2,1,1,32200.0
43.2,3,1,1,32200.0
31.2,3,1,0,32200.0
34.5,1,1,0,31500.0
39.8,2,2,1,31500.0
35.0,2,1,0,31500.0
40.9,2,1,2,31500.0
16.5,3,1,0,31500.0
34.5,3,1,0,31500.0
67.5,2,1,0,31500.0
90.0,3,1,2,31500.0
30.6,2,1,1,31500.0
45.0,3,1,0,31430.0
54.9,3,1,0,31290.0
23.9,3,1,0,31188.5
30.0,3,1,0,31150.0
38.5,3,1,0,31150.0
35.0,2,1,0,31150.0
81.0,2,1,1,30870.0
49.6,2,1,0,30800.0
21.6,3,1,0,30800.0
30.9,2,1,0,30800.0
45.0,2,1,1,30800.0
38.0,2,1,0,30450.0
30.9,3,1,0,30100.0
32.4,3,1,2,30100.0
28.3,2,1,0,30100.0
46.0,2,1,0,30100.0
50.7,3,1,0,30100.0
37.5,3,1,0,30100.0
36.3,4,1,3,30100.0
80.5,2,1,0,30030.0
43.5,4,1,1,29750.0
30.0,2,1,0,29610.0
58.5,3,1,1,29400.0
49.6,2,1,0,29400.0
36.0,3,1,1,29400.0
36.6,4,1,0,29400.0
34.8,3,1,1,29400.0
27.0,2,1,0,29400.0
31.5,3,1,0,29400.0
66.1,3,1,0,29400.0
30.4,2,1,0,28700.0
36.3,2,1,0,28700.0
60.0,2,1,0,28700.0
54.0,4,1,0,28700.0
52.0,4,1,0,28525.0
33.0,3,1,1,28350.0
43.5,3,1,1,28350.0
26.4,2,1,1,28350.0
26.5,3,1,1,28000.0
39.6,3,1,0,28000.0
68.0,2,1,0,27300.0
40.0,3,1,1,27300.0
40.0,2,1,0,26950.0
39.3,2,1,0,26600.0
20.0,2,1,0,26600.0
36.3,3,3,0,26600.0
28.0,3,1,0,26600.0
24.3,3,1,0,26600.0
34.8,2,1,1,26600.0
40.0,3,1,0,26600.0
31.8,2,1,0,26530.0
40.0,3,1,0,26530.0
29.1,2,1,0,26040.0
36.0,2,1,0,25900.0
44.0,2,1,0,25900.0
36.0,2,2,1,25900.0
28.8,3,1,0,25200.0
31.8,3,1,0,25200.0
30.0,2,1,0,25200.0
44.0,3,1,0,24850.0
30.0,3,1,0,24850.0
32.1,3,1,0,24500.0
32.4,2,1,1,24500.0
30.0,2,1,1,24500.0
35.0,2,1,0,24500.0
48.4,2,1,0,24500.0
77.0,2,1,0,24500.0
36.3,2,1,0,24080.0
24.7,3,1,0,23800.0
27.8,4,2,0,23800.0
32.6,2,1,0,23800.0
36.4,2,1,0,23450.0
31.8,2,1,0,23100.0
18.3,2,1,0,22750.0
39.7,1,1,0,22750.0
39.7,3,1,0,22750.0
19.5,3,1,0,22400.0
53.0,3,1,0,22330.0
30.0,2,1,0,21350.0
24.0,3,1,0,21000.0
30.0,4,1,0,21000.0
33.6,2,1,1,21000.0
34.2,5,1,0,19600.0
17.0,3,1,0,18900.0
36.4,2,1,0,18900.0
29.9,2,1,1,18550.0
30.0,2,1,2,18200.0
24.0,3,1,0,17671.5
36.2,2,1,0,17500.0
29.1,3,1,0,17500.0
38.5,3,1,0,17500.0
